1,2005-08-29 00:00:00,"Universidad Nacional-Medellín....","Clasificación Biomasa","Distribución general de las tecnologías asociadas a la transformación de biomasa en energía.","Clasificación Biomasa.GIF",1,,,,
2,2005-08-29 00:00:00,"Universidad Nacional-Medellín","Mapa de potencial de biomasa","Mapa del territorio colombiano en que el se distingue el potencial de biomasa","Mapa de potencial de biomasa.bmp",1,,,,
3,2005-08-29 00:00:00,"Universidad Nacional-Medellín","Descripción biomasa – combustión","Muestra en forma resumida los datos de las variables caracteristicas para el aprovechamiento de biomasa mediante combustión","Descripción biomasa-combustión.GIF",,,,,1
4,2005-08-29 00:00:00,"Universidad Nacional-Medellín","Crecimiento capacidad instalada en generación eléctrica con biomasa sólida en la Comunidad Europea","Imagen que ilustra el crecimiento de la capacidad de generación eléctrica instalada a partir de la quema de biomasa sólida y de los residuos municipales para países de la Comunidad Europea.","Crecimiento capacidad instalada en generación eléctrica con biomasa sólida en la Comunidad Europea.GIF",,,1,,
5,2005-08-29 00:00:00,"Universidad Nacional-Medellín","Capacidades instaladas de biomasa en Canadá, México y Estados Unidos","Muestra la capacidad instalada de sistemas de aprovechamiento de biomasa para Canadá, México y Estados Unidos","Capacidades instaladas de biomasa en Canadá, México y Estados Unidos.GIF",1,,,,
6,2005-08-29 00:00:00,"Universidad Nacional-Medellín","Capacidad de generación en MW en tres áreas de la OECD, para cuatro productos, año 2002","Imagen de la capacidad de generación disponible para los países del OECD por regiones. Se nota que la biomasa sólida, tiene gran desarrollo en Europa y Norte América.","Capacidad de generación en MW en tres áreas de la OECD, para cuatro productos, año 2002.GIF",1,,,,
7,2005-08-29 00:00:00,"Universidad Nacional-Medellín","Emisiones en calderas con quema de biomasa","Valores de emisiones para combustión de biomasa en calderas","Emisiones en calderas con quema de biomasa.GIF",,,,1,
9,2005-08-29 00:00:00,"Universidad Nacional-Medellín","Costos de generación para diferentes tecnologías de biomasa","Permite visualizar el efecto del uso continuo de diferentes tipos de plantas de generación mediante el empleo de varios combustibles provenientes de la biomasa, sobre los costos de generación","Costos de generación para diferentes tecnologías de biomasa.GIF",1,,,,
10,2005-08-29 00:00:00,"Universidad Nacional-Medellín","Emisiones directas al aire de consumo de biomasa, carbón y gas natural","Muestra una comparación de las emisiones de diferentes tipos de tecnologías con biomasa como combustible base frente a tecnologías provenientes en carbón y gas natural","Emisiones directas al aire de consumo de biomasa, carbón y gas natural.GIF",1,,,,
12,2005-08-29 00:00:00,"Universidad Nacional-Medellín","Descripción biomasa - bioquímica","Muestra en forma resumida los datos de las variables caracteristicas para el aprovechamiento de biomasa mediante digestión y fermentación.","Descripción biomasa – bioquímica.GIF",,,,,5
13,2005-08-29 00:00:00,"Universidad Nacional-Medellín","Distribución de capacidad instalada de biogás por sectores","Describe el estado actual de la capacidad de biogás instalada a nivel mundial","Distribución de capacidad instalada de biogás por sectores.GIF",,,,,5
39,2005-10-05 00:00:00,"Universidad Nacional-Medellín","Clasificación de los procesos empleados para la conversión y aplicación de biomasa","Presenta una clasificación de los procesos empleados para conversión de la energía química almacenada en la biomasa en energía térmica y eléctrica","Clasificación de los procesos empleados para la conversión y aplicación de biomasa.GIF",1,,,,
41,2005-10-05 00:00:00,"Universidad Nacional-Medellín","Costos para plantas de combustión","Presenta los costos de inversión, operación, mantenimiento y adquisición de combustible para plantas de combustión directa","Costos para plantas de combustión.GIF",,,1,,
42,2005-10-05 00:00:00,"Universidad Nacional-Medellín","Costos para plantas de co-combustión","Presenta los costos de inversión, operación, mantenimiento y adquisición de combustible para plantas de co-combustión","Costos para plantas de co-combustión.GIF",,,2,,
43,2005-10-05 00:00:00,"Universidad Nacional-Medellín","Proveedores para la combustión de biomasa","Lista de los principales proveedores para la combustión de biomasa","Proveedores para la combustión de biomasa.GIF",,,,,1
47,2005-10-05 00:00:00,"Universidad Nacional-Medellín","Esquema general de una plata de biogás","Imagen que presenta el esquema general de una planta de producción de biogás","Esquema general de una plata de biogás.bmp",,,,,5
48,2005-10-05 00:00:00,"Universidad Nacional-Medellín","Costos para plantas de producción de biogás","Presenta costos de inversión de inversión, operación y mantenimiento para plantas de generación con biogás, obtenido a partir de relleno sanitario y digestor anaeróbico","Costos para plantas de producción de biogás.GIF",,,5,,
49,2005-10-05 00:00:00,"Universidad Nacional-Medellín","Proveedores sistemas de digestión de anaeróbica de biomasa","Lista de los principales proveedores para digestión anaeróbica de biomasa","Proveedores sistemas de digestión de anaeróbica de biomasa.GIF",,,,,5
51,2005-10-05 00:00:00,"Universidad Nacional-Medellín","Emisiones directas al aire de consumo de biomasa, carbón y gas natural","Muestra una comparación de las emisiones de diferentes tipos de tecnologías con biomasa como combustible base frente a tecnologías provenientes en carbón y gas natural","Emisiones directas al aire de consumo de biomasa, carbón y gas natural.GIF",1,,,,
52,2005-08-29 00:00:00,"UNALMED","Clasificación energía geotérmica","Aplicaciones de la energía geotérmica para el aprovechamiento en generación de energía eléctrica.","Clasificación energía geotérmica.jpg",2,,,,
53,2005-08-29 00:00:00,"Universidad Nacional-Medellín","Esquema de la operación geotérmica","Ilustración de una planta geotérmica generadora de energía eléctrica","Esquema de la operación geotérmica.jpg",,,,,6
54,2005-08-29 00:00:00,"Universidad Nacional-Medellín","Descripción energía geotérmica","Muestra en forma resumida los datos de las variables caracteristicas para la generación de energía eléctrica mediante el proceso de la hidrotermia","Descripción energía geotérmica.jpg",,,,,6
55,2005-08-29 00:00:00,"Universidad Nacional-Medellín","Planta de vapor seco","Ilustra el funcionamiento de una planta de vapor seco para la generación de energía geotermoeléctrica","u:\",,,,6,
56,2005-08-29 00:00:00,"Universidad Nacional-Medellín","Planta de vapor flash","Ilustra el funcionamiento de una planta de vapor flash para la generación de energía geotermoeléctrica","u:\",,,,7,
57,2005-08-29 00:00:00,"Universidad Nacional-Medellín","Planta de ciclo binario","Ilustra el funcionamiento de una planta de ciclo binario para la generación de energía geotermoeléctrica","u:\",,,,8,
58,2005-08-29 00:00:00,"Universidad Nacional-Medellín","Mapa geotérmico de Colombia","Ilustra las zonas de Colombia donde hay fuentes de calor según estudios geológicos","Mapa geotérmico de Colombia.jpg",2,,,,
59,2005-08-29 00:00:00,"Universidad Nacional-Medellín","Localizaciones geotérmicas de alta temperatura en el mundo","Ilustra las localizaciones en el mundo en donde es factible encontrar puntos calientes para su aprovechamiento energético","Locaciones geotérmicas de alta temperatura en el mundo.jpg",2,,,,
